,Var1,Var2,value
319,STnc1060,Edwardsiella,NA
320,STnc490,Edwardsiella,95.6666666666667
321,STnc1180,Edwardsiella,NA
322,RygD,Edwardsiella,NA
323,RygC,Edwardsiella,NA
324,STnc710,Edwardsiella,NA
325,SraB,Edwardsiella,NA
326,STnc520,Edwardsiella,NA
327,STnc1110,Edwardsiella,NA
328,STnc3390,Edwardsiella,NA
329,STnc630,Edwardsiella,NA
330,IsrN,Edwardsiella,93.5
331,RyeC,Edwardsiella,NA
332,RydB,Edwardsiella,NA
333,STnc2040,Edwardsiella,NA
334,STnc840,Edwardsiella,NA
335,DapZ,Edwardsiella,NA
336,STnc2070,Edwardsiella,NA
337,sRNA12,Edwardsiella,NA
338,STnc1420,Edwardsiella,NA
339,STnc1460,Edwardsiella,NA
340,STnc3160,Edwardsiella,NA
341,sRNA10,Edwardsiella,NA
342,MgrR,Edwardsiella,NA
343,RyfA,Edwardsiella,NA
344,STnc920,Edwardsiella,NA
345,MicC,Edwardsiella,NA
346,STnc1380,Edwardsiella,86.5
347,STnc1560,Edwardsiella,NA
348,tp2,Edwardsiella,NA
349,STnc3130,Edwardsiella,NA
350,C0664,Edwardsiella,NA
351,STnc4010,Edwardsiella,NA
352,STnc1640,Edwardsiella,NA
353,STnc3870,Edwardsiella,NA
354,RybA,Edwardsiella,NA
355,IstR‑1_2,Edwardsiella,NA
356,STnc3000,Edwardsiella,NA
357,SraL,Edwardsiella,NA
358,STnc850,Edwardsiella,NA
359,STnc4180,Edwardsiella,NA
360,STnc1670,Edwardsiella,NA
361,STnc1860,Edwardsiella,NA
362,STnc2100,Edwardsiella,NA
363,STnc1040,Edwardsiella,85
364,OxyS,Edwardsiella,NA
365,MicF,Edwardsiella,NA
366,DsrA,Edwardsiella,NA
367,STnc200,Edwardsiella,NA
368,STnc880,Edwardsiella,NA
369,tpke70,Edwardsiella,NA
370,STnc1340,Edwardsiella,NA
371,STnc3850,Edwardsiella,NA
372,ChiX,Edwardsiella,NA
373,STnc2180,Edwardsiella,NA
374,SroC,Edwardsiella,NA
375,STnc4080,Edwardsiella,59
376,OmrB,Edwardsiella,72.8
377,t44,Edwardsiella,66.4
378,CyaR,Edwardsiella,59
379,RyhB‑1,Edwardsiella,NA
380,STnc2130,Edwardsiella,73
381,RprA,Edwardsiella,NA
382,ArcZ,Edwardsiella,NA
383,SraA,Edwardsiella,NA
384,tpke11,Edwardsiella,NA
385,SraF,Edwardsiella,76
386,STnc800,Edwardsiella,NA
387,STnc790,Edwardsiella,NA
388,OmrA,Edwardsiella,75.8
389,CsrB,Edwardsiella,63.2
390,FnrS,Edwardsiella,80.8
391,GlmZ,Edwardsiella,67.8
392,MicA,Edwardsiella,77.6
393,STnc870,Edwardsiella,92.8
394,SdsR,Edwardsiella,76
395,SroG,Edwardsiella,86.6
396,SraG,Edwardsiella,60.2
397,STnc700,Edwardsiella,80.2
398,Spf,Edwardsiella,97.8
399,GlmY,Edwardsiella,68.6
400,GcvB,Edwardsiella,77.8
401,STnc3800,Dickeya,NA
402,STnc1310,Dickeya,NA
403,STnc1280,Dickeya,NA
404,STnc2080,Dickeya,NA
405,STnc1920,Dickeya,NA
406,STnc1740,Dickeya,NA
407,STnc2160,Dickeya,NA
408,STnc400,Dickeya,NA
409,STnc4130,Dickeya,NA
410,STnc3170,Dickeya,NA
411,STnc1400,Dickeya,NA
412,STnc4100,Dickeya,NA
413,IsrB‑1,Dickeya,NA
414,IsrB‑2,Dickeya,NA
415,STnc1480,Dickeya,NA
416,STnc1080,Dickeya,NA
417,STnc1390,Dickeya,NA
418,IsrF,Dickeya,NA
419,STnc3300,Dickeya,NA
420,IsrJ,Dickeya,NA
421,STnc3060,Dickeya,NA
422,IsrC,Dickeya,NA
423,STnc780,Dickeya,NA
424,STnc750,Dickeya,NA
425,STnc1710,Dickeya,NA
426,STnc3920,Dickeya,NA
