"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"IYO_003280",1881.57806492945,1.69432819569853,0.509708761855449,3.32411039890861,0.000887010746197846,0.00234427147234569
"IYO_003285",459.409397729449,0.0227812960693209,0.390778546270421,0.0582972025633057,0.953511895758512,0.967475016728202
"IYO_003290",66.6803224059271,-0.289298374655929,0.241776793870841,-1.19655145568054,0.23148143126021,0.306307435314068
"IYO_003295",170.252598436738,0.0255622803728476,0.173870593616679,0.147018997526419,0.883117025399601,0.915575967033497
"IYO_003300",257.854731515417,-0.297967084666453,0.161263409715546,-1.84770423242346,0.0646451413689534,0.104571965334595
"IYO_003305",1432.22129340332,0.0564769526088427,0.120752369297049,0.467708856874768,0.639992806486525,0.711492085845396
"IYO_003310",2567.55244826784,3.61750012486349,0.477393062359089,7.5776135224656,3.51969009531918e-14,5.10574495872111e-13
"IYO_003315",3426.81682172487,2.64338232575393,0.459899270110606,5.7477419460096,9.0443130153782e-09,6.49515664326605e-08
"IYO_003320",2087.72793201292,2.33974754234449,0.36271755204088,6.45060469001179,1.11404743445171e-10,1.04354491565307e-09
"IYO_003325",1166.8598809759,3.96205434660476,0.640268646187482,6.18811239656517,6.08889093134614e-10,5.13080713082951e-09
"IYO_003330",363.113368915761,-0.876892732067991,0.187345765366765,-4.68061143710031,2.86020588438102e-06,1.28576643195088e-05
"IYO_003335",1339.49693555839,0.922752676937624,0.592528750322019,1.55731291761984,0.119396209961044,0.177130260990409
"IYO_003340",129.620839970647,0.0224482026200518,0.317531021425919,0.0706960929966619,0.943639630395851,0.95947417060176
"IYO_003345",224.473187662746,1.05826001999835,0.301338969768952,3.51185915585283,0.000444983754034237,0.00126637499863853
"IYO_003350",703.72673108313,-1.11641507419617,0.298532858536504,-3.73967234182919,0.000184260281030725,0.000571649095869721
"IYO_003355",66.5275126829227,0.3330277005816,0.229628436224761,1.45028945916625,0.146977817246529,0.208936941085792
"IYO_003360",446.525038370734,2.34610675696023,0.275233780390323,8.52405091276621,1.54067853617365e-17,3.46028071232515e-16
"IYO_003365",44.235713193038,0.337029106297936,0.306652853478512,1.09905746016987,0.271743003502763,0.352290851654908
"IYO_003370",137.085724305895,-0.442873086789823,0.212443361730183,-2.08466427561197,0.0370997855922813,0.064363093584939
"IYO_003375",2113.67551407721,2.61550380167824,0.536072775646292,4.87900882212303,1.06620295526491e-06,5.22942882864756e-06
"IYO_003380",68.9018425677055,1.54946580301786,0.564104005200396,2.74677327005933,0.00601847245084709,0.0130195069715796
"IYO_003385",178.097556673784,-0.435423593460638,0.18615365626428,-2.33905474756011,0.0193326002623329,0.0365004010795166
"IYO_003395",89.1324531244627,1.36067365435309,0.231816462915281,5.86961614909276,4.36805255172276e-09,3.29558517423752e-08
"IYO_003400",2715.21908361762,2.28561416818966,0.339604450184552,6.73022443300606,1.69401587926787e-11,1.77871667323126e-10
"IYO_003405",129.592259259107,-0.0684859546950207,0.163599824172854,-0.418618754887295,0.675494780676997,0.741211011205034
"IYO_003415",116.041893588262,-0.595259187873675,1.43850784939618,-0.413803225421077,0.679018221629278,0.744131310327338
"IYO_003425",41.5080707091803,0.279458072192304,0.255405341710845,1.09417473542386,0.273878349790614,0.354584990147341
"IYO_003430",79.3106028220117,-0.403600025920283,0.374141525431863,-1.07873624948318,0.280705321190178,0.361652902184554
"IYO_003435",113.794747952754,1.15212449453049,0.215443512717703,5.34768710367309,8.90852998005916e-08,5.53642295876112e-07
"IYO_003440",147.852725468022,1.57210475527795,0.258682367659693,6.07735567561418,1.22180560935144e-09,9.8166342950239e-09
"IYO_003445",165.185903632295,0.891635983269298,0.34948636623291,2.55127544138612,0.0107329464631264,0.0217311345548229
"IYO_003450",447.81620551548,0.0483151118538232,0.139695406020042,0.345860420398444,0.729447614982442,0.78928511464897
"IYO_003455",241.925209483477,-0.368233553825927,0.197424030321224,-1.86519114834593,0.0621546158421869,0.101049021898827
"IYO_003460",30518.8305454245,3.96523907169514,1.2922200822543,3.06854778543428,0.00215101924227379,0.00520919189521509
"IYO_003465",947.973280549914,-1.85440268034449,0.642188195865969,-2.88763121508936,0.00388154670285191,0.00883370781318057
"IYO_003470",237.454843770663,-1.86605088269232,0.632728723393633,-2.94921158736683,0.0031858577774263,0.00739805776099353
"IYO_003475",65750.8718254116,4.12795182652971,1.11628580614435,3.69793452878134,0.000217360930745469,0.000660600070086934
"IYO_003480",2.10922917739881,2.86706421982226,0.935719661993403,3.06402049275573,0.00218383950232342,0.00526893172335767
"IYO_003485",529.899895169688,-2.03560685369891,0.273903700812013,-7.4318340630819,1.07102109681707e-13,1.48336421909164e-12
"IYO_003490",752.643949749351,-1.28703645510489,0.277311913992371,-4.64111489685328,3.46534362386026e-06,1.53086672806649e-05
"IYO_003495",436.532727283298,0.0620444768683608,0.251076969143587,0.247113373560275,0.804820484033672,0.852137014128844
"IYO_003500",31.0254442597755,-0.0769582536132848,0.349500754564221,-0.22019481391175,0.82571943541681,0.870619894112667
"IYO_003505",26.840365055325,1.1312355944907,0.295045801745346,3.83410164726584,0.000126024023443351,0.0004074940213285
"IYO_003515",3.44593211087114,1.15596079833361,0.756295666786949,1.52845090762532,0.126400623518296,0.185429287063449
"IYO_003520",65.3200577039188,1.16236651663061,0.322214043208778,3.60743593002696,0.000309237865157939,0.000913578802246689
"IYO_003525",118.314685931299,1.16631772584756,0.311801838136463,3.74057360539711,0.00018360076770345,0.000569906972108309
"IYO_003530",414.968927260875,0.72837093510108,0.295494368531345,2.46492323600345,0.0137042607972984,0.0269225548996572
"IYO_003535",131.622797199623,0.77829257996991,0.299789919764914,2.59612658284249,0.00942813243214686,0.0193724642733304
"IYO_003540",147.587649005846,0.648259066592852,0.39813958023267,1.62822060096114,0.10347811808221,0.157121433799064
