#Position (bp)	mapping quality
5722687.5	243.35266506089107
5745173.5	242.72359067754903
5767659.5	243.1791490471165
5790145.5	118.16561839139739
5812631.5	202.9611225494291
5835117.5	227.50705681823973
5857603.5	235.0303168922606
5880089.5	179.56578489779176
5902575.5	243.71123057646795
5925061.5	230.73541269500868
5947547.5	221.26932578076057
5970033.5	198.233083112002
5992519.5	231.3524526606329
6015005.5	210.69116513476754
6037491.5	236.59133656388016
6059977.5	243.1880221144254
6082463.5	229.63285629155985
6104949.5	155.36272331970892
6127435.5	182.10863757755078
6149921.5	154.16132593882466
6172407.5	188.24409866871233
6194893.5	191.7728369786536
6217379.5	199.00769981814733
6239865.5	184.0136184531751
6262351.5	146.02356190600108
6284837.5	243.5691821335887
6307323.5	198.08663360173588
6329809.5	242.16970465981944
6352295.5	203.716725597438
6374781.5	176.05124860149
6397267.5	150.78076333696114
6419753.5	239.98720997270647
6442239.5	240.1789751533996
6464725.5	242.45982041494176
6487211.5	205.5714216030914
6509697.5	185.67332185977688
6532183.5	206.49947623962106
6554669.5	206.98963076046036
6577155.5	240.6396788770118
6599641.5	242.95815359838178
6622127.5	212.898942103279
6644613.5	242.6677050234246
6667099.5	226.3256952764787
6689585.5	241.83756312826839
6712071.5	209.9408616489666
6734557.5	214.92626122244278
6757043.5	243.01500006983483
6779529.5	190.32822989520741
6802015.5	243.99257561663603
6824501.5	241.2601607685521
6846987.5	236.25972635952482
6869473.5	218.16047050933938
6891959.5	164.5186489874386
6914445.5	175.22355131420753
6936931.5	192.72328053206977
6959417.5	162.25151092639763
6981903.5	174.44639902231592
7004389.5	243.84413598955615
7026875.5	233.20843187555488
7049361.5	164.93419287470698
7071847.5	234.10908417023188
7094333.5	243.39680540476544
7116819.5	206.2262705489563
7139305.5	242.34897893189614
7161791.5	243.34508178923815
7184277.5	192.14149679517035
7206763.5	187.22199297894662
7229249.5	230.30889780503097
7251735.5	243.17643257155655
7274221.5	241.82838203227215
7296707.5	240.18886762203317
7319193.5	242.54363060860945
7341679.5	207.48168380306603
7364165.5	186.41148916674874
7386651.5	242.219597258814
7409137.5	241.1700799868904
7431623.5	243.21262136022895
7454109.5	237.3697317727441
7476595.5	230.0905379572745
7499081.5	241.77421061268421
7521567.5	241.50697064700424
7544053.5	195.64787911978493
7566539.5	208.3647942975251
7589025.5	240.8572055601411
7611511.5	244.27929123623178
7633997.5	243.55499502222267
7656483.5	242.9646690613241
7678969.5	218.17715073192736
7701455.5	238.3934496596154
7723941.5	234.8437408473883
7746427.5	193.73333842188626
7768913.5	243.5592663359627
7791399.5	243.6359949127387
7813885.5	242.5576294325973
7836371.5	240.53661146353335
7858857.5	219.31958088642693
7881343.5	164.0648293255342
7903829.5	201.33788311059757
7926315.5	225.29685986297324
7948801.5	238.5180665404165
7971287.5	241.47382560312087
7993773.5	191.81530043434984
8016259.5	243.97615857045892
8038745.5	243.5602558005963
8061231.5	242.9418748732625
8083717.5	242.30199136944796
8106203.5	240.73613803218046
8128689.5	157.1521820601079
8151175.5	179.45564249580576
8173661.5	241.97831831536948
8196147.5	241.16352741272024
8218633.5	243.72407676293295
8241119.5	244.60574594679306
8263605.5	242.8739660487342
8286091.5	239.48210509479458
8308577.5	242.10738950982523
8331063.5	243.9169490006274
8353549.5	241.17767519667157
8376035.5	213.83780741347394
8398521.5	243.11772884693167
8421007.5	232.11176116857123
8443493.5	185.60745521446958
8465979.5	238.96384897777202
8488465.5	182.22414935416805
8510951.5	242.64086310817638
8533437.5	224.35559485934206
8555923.5	137.22129421280258
8578409.5	154.20269287541024
8600895.5	158.22541780868346
8623381.5	204.8236309859507
8645867.5	242.0326461850398
8668353.5	243.095565998325
8690839.5	240.21781730682844
8713325.5	238.08338070695046
8735811.5	238.68312651963
8758297.5	240.45278596631434
8780783.5	201.64602905569006
8803269.5	243.07183145044098
8825755.5	184.3474117143143
8848241.5	231.82782264041612
8870727.5	185.03978065203233
8893213.5	168.0619074606323
8915699.5	208.4146643778755
8938185.5	183.47364477719745
8960671.5	243.61215308934408
8982983.5	243.96747292099863
