#Coverage	Number of genomic locations
597.0	104.0
598.0	118.0
599.0	105.0
600.0	101.0
601.0	108.0
602.0	107.0
603.0	94.0
604.0	94.0
605.0	82.0
606.0	95.0
607.0	92.0
608.0	74.0
609.0	61.0
610.0	63.0
611.0	50.0
612.0	42.0
613.0	53.0
614.0	29.0
615.0	45.0
616.0	40.0
617.0	22.0
618.0	20.0
619.0	25.0
620.0	24.0
621.0	28.0
622.0	27.0
623.0	23.0
624.0	21.0
625.0	26.0
626.0	20.0
627.0	19.0
628.0	24.0
629.0	19.0
630.0	22.0
631.0	22.0
632.0	22.0
633.0	12.0
634.0	18.0
635.0	14.0
636.0	20.0
637.0	13.0
638.0	18.0
639.0	16.0
640.0	10.0
641.0	10.0
642.0	14.0
643.0	10.0
644.0	10.0
645.0	16.0
646.0	10.0
647.0	18.0
648.0	17.0
649.0	12.0
650.0	17.0
651.0	22.0
652.0	17.0
653.0	31.0
654.0	36.0
655.0	24.0
656.0	28.0
657.0	39.0
658.0	34.0
659.0	34.0
660.0	32.0
661.0	26.0
662.0	24.0
663.0	26.0
664.0	26.0
665.0	13.0
666.0	7.0
667.0	10.0
668.0	4.0
669.0	4.0
670.0	3.0
671.0	1.0
672.0	3.0
673.0	2.0
674.0	8.0
675.0	2.0
676.0	4.0
677.0	2.0
678.0	3.0
679.0	2.0
680.0	1.0
681.0	2.0
682.0	1.0
683.0	3.0
684.0	7.0
685.0	6.0
686.0	2.0
687.0	3.0
688.0	2.0
689.0	1.0
690.0	3.0
691.0	3.0
692.0	4.0
693.0	1.0
694.0	2.0
695.0	4.0
696.0	2.0
697.0	5.0
698.0	5.0
699.0	5.0
700.0	1.0
701.0	3.0
702.0	1.0
703.0	4.0
704.0	1.0
705.0	1.0
706.0	7.0
707.0	6.0
708.0	2.0
709.0	8.0
710.0	4.0
711.0	7.0
712.0	4.0
713.0	6.0
714.0	4.0
715.0	3.0
716.0	5.0
717.0	3.0
718.0	6.0
719.0	6.0
720.0	5.0
721.0	11.0
722.0	7.0
723.0	5.0
724.0	9.0
725.0	10.0
726.0	8.0
727.0	10.0
728.0	9.0
729.0	15.0
730.0	13.0
731.0	7.0
732.0	14.0
733.0	11.0
734.0	16.0
735.0	16.0
736.0	16.0
737.0	20.0
738.0	20.0
739.0	29.0
740.0	22.0
741.0	27.0
742.0	28.0
743.0	33.0
744.0	29.0
745.0	41.0
746.0	53.0
747.0	47.0
748.0	43.0
749.0	46.0
750.0	54.0
751.0	58.0
752.0	61.0
753.0	69.0
754.0	73.0
755.0	57.0
756.0	62.0
757.0	61.0
758.0	63.0
759.0	61.0
760.0	61.0
761.0	54.0
762.0	47.0
763.0	50.0
764.0	40.0
765.0	27.0
766.0	33.0
767.0	29.0
768.0	37.0
769.0	29.0
770.0	29.0
771.0	30.0
772.0	21.0
773.0	19.0
774.0	20.0
775.0	16.0
776.0	14.0
777.0	25.0
778.0	15.0
779.0	22.0
780.0	15.0
781.0	17.0
782.0	29.0
783.0	22.0
784.0	28.0
785.0	34.0
786.0	31.0
787.0	44.0
788.0	33.0
789.0	48.0
790.0	37.0
791.0	58.0
792.0	51.0
793.0	64.0
794.0	66.0
795.0	71.0
796.0	80.0
797.0	69.0
798.0	82.0
799.0	70.0
800.0	75.0
801.0	57.0
802.0	79.0
803.0	73.0
804.0	72.0
805.0	80.0
806.0	74.0
807.0	76.0
808.0	80.0
809.0	81.0
810.0	66.0
811.0	91.0
812.0	71.0
813.0	68.0
814.0	76.0
815.0	97.0
816.0	77.0
817.0	70.0
818.0	73.0
819.0	57.0
820.0	63.0
821.0	54.0
822.0	56.0
823.0	51.0
824.0	44.0
825.0	42.0
826.0	34.0
827.0	24.0
828.0	26.0
829.0	26.0
830.0	22.0
831.0	17.0
832.0	14.0
833.0	6.0
834.0	9.0
835.0	5.0
836.0	3.0
837.0	9.0
838.0	1.0
839.0	4.0
840.0	3.0
843.0	1.0
