STnc310,15,16,75,24,71,18,133,30,44,154,25,26,7,2,69,13,16,49,128,245
SraG,2112,1525,1397,920,132,2469,2394,2190,1834,1137,1843,1748,859,940,1039,1497,1036,851,380,1398
STnc3950,44,59,31,28,25,23,70,53,69,68,24,65,87,55,43,24,20,46,56,79
STnc1660,223,246,250,164,20,234,476,161,145,394,148,199,129,120,254,280,109,62,35,60
STnc3960,24,40,47,31,55,30,89,41,50,61,23,58,90,92,65,47,32,77,73,109
STnc3970,95,194,117,164,33,48,170,210,276,154,30,246,332,237,115,105,106,269,400,516
ArcZ,3735,4073,21597,36782,60867,6120,6459,8425,3548,10422,16663,6619,12035,12396,7792,16243,15245,16240,18429,22722
STnc3060,54,61,44,52,9,63,68,114,84,339,137,149,94,78,63,97,53,85,86,134
STnc3050,21,41,36,125,63,14,15,47,49,77,9,38,69,67,53,91,185,169,147,91
STnc2100,32,26,9,14,4,62,43,26,107,57,15,13,18,23,21,24,26,110,40,109
STnc3990,69,58,63,54,25,59,68,77,82,135,105,83,70,67,82,51,59,110,57,128
STnc1670,3,2,19,106,9,1,4,143,1,17,41,1,423,166,5,5,3,13,59,15
STnc4000,48,44,11,12,195,14,36,63,56,81,139,240,7,7,31,34,7,30,280,58
STnc1590,1383,1787,1577,1794,880,1777,1836,2202,2470,3937,810,2504,2384,1959,1651,2098,1625,1227,1043,2235
STnc340,32,20,28,21,45,37,64,27,50,64,16,29,22,15,13,17,14,31,23,24
STnc760,59,81,151,182,27,68,46,109,104,184,158,111,143,154,220,260,1723,2597,3691,3387
STnc4010,3,3,11,14,70,3,0,4,4,86,5,8,17,25,33,5,10,34,19,31
RyhB‑1,207,125,36,38,3683,64,316,404,114,52,1127,20623,57,26,29,104,30,28,17163,897
STnc1830,9,7,18,15,13,6,11,15,12,67,7,15,17,16,18,36,48,60,66,143
sRNA12,0,3,8,12,48,7,3,2,3,17,3,10,21,11,20,4,10,39,11,35
STnc770,240,205,316,483,175,147,404,452,203,706,315,208,929,758,296,207,198,189,351,288
STnc350,124,103,102,92,21,94,115,226,128,252,142,149,315,178,112,9,16,88,38,42
STnc4020,57,95,109,40,3,79,156,157,169,89,65,204,121,71,72,48,101,43,16,151
STnc710,6000,11111,14501,13621,9204,9734,14400,19726,21170,17445,687,11797,14277,18288,12994,11319,6813,22865,6915,25170
STnc1430,164,351,462,663,75,140,177,236,260,200,202,355,751,555,336,262,308,175,360,254
STnc780,206,222,180,154,49,233,254,263,214,646,252,162,156,108,117,179,108,128,113,275
STnc380,48,20,13,10,19,27,56,82,34,134,22,23,11,29,155,25,72,313,194,107
AmgR,1,3,3,4,6,2,2,2,5,18,2,3,3,3,4,3,5,15,5,9
STnc4040,27,59,59,81,27,28,25,61,53,65,79,56,423,58,48,83,88,120,22,131
IstR-12,272,179,175,151,298,213,402,399,240,617,51,183,185,316,194,170,132,553,951,535
IstR‑1_2,272,179,175,151,298,213,402,399,240,617,51,183,185,316,194,170,132,553,951,535
STnc2110,51,112,17,34,6,29,233,34,48,874,121,270,30,28,63,56,84,42,61,575
STnc4250,406,458,374,120,14,407,819,474,590,89,346,376,186,134,235,304,279,63,126,75
STnc3170,5,4,9,43,13,6,13,7,6,19,27,7,32,19,20,24,54,418,188,49
STnc400,18718,32138,93147,103756,150462,97421,43722,72055,58392,29066,8584,52891,86608,198776,126781,37659,46424,26149,102432,129765
STnc1860,97,549,364,618,137,367,364,815,540,675,41,648,789,275,472,178,688,709,489,374
GlmZ,3743,4658,5086,1754,534,3129,4247,4507,3957,2482,1948,3994,2202,4154,3944,3728,6805,10727,2856,2463
STnc790,16,73,600,194,267,6,38,82,35,201,52,57,67,18,56,48,34,21,79,66
Spf,18945,15166,1139,699,417,25270,19198,15871,21887,14187,13841,14504,3874,3781,8613,15154,21836,17141,26038,27532
CsrC,5135,4072,10573,15547,3415,2633,4192,5330,1606,3309,8111,4263,8241,10959,7259,6323,1830,2740,2978,3526
STnc800,235,1164,242,208,5,686,878,1242,190,435,870,738,647,143,273,1583,2658,184,3245,2519
STnc3120,29,21,71,68,281,15,26,39,37,246,41,50,90,69,109,28,40,121,125,175
STnc870,807,1127,1767,4524,14408,997,995,966,336,3864,995,654,452,753,2010,1998,45,45,64,60
IsrP,64,45,67,26,5,53,102,60,37,39,58,64,17,25,37,59,53,57,20,28
STnc4070,29,33,34,32,7,24,48,74,49,69,27,52,136,74,32,12,9,19,55,118
STnc4080,6,7,5,3,46,12,17,12,12,7,4,9,7,9,7,27,25,33,446,23
STnc1600,45,44,113,205,37,51,94,134,67,87,153,71,317,135,69,105,77,164,136,216
OxyS,93,111,68,42,75,52,122,154,564,136,2132,116,122,1265,3803,43,77,55,21615,445
STnc3490,119,36,40,18,23,50,89,46,67,311,34,55,52,25,63,49,36,29,89,70
STnc1460,2138,8430,5589,5541,143,2696,4045,4379,8229,6495,327,6883,5307,2316,2525,5784,5433,3627,5512,3087
STnc4100,61,44,59,82,15,102,62,96,65,39,21,68,92,109,69,57,69,120,69,168
STnc810,14,422,240,392,14,61,355,405,69,149,225,184,1845,48,14,56,27,22,36,54
STnc2130,72,887,1154,1184,374,316,926,639,1038,461,146,723,3848,2879,1218,211,449,533,511,492
STnc880,1019,1284,5330,2791,3109,9308,2950,5284,446,395,3264,1028,1103,1262,1115,1190,397,198,242,446
SraL,10,22,141,532,2159,12,9,27,10,391,17,54,229,808,366,64,658,3331,665,704
STnc630,728,914,1022,676,170,986,1473,2353,1643,3214,1481,845,514,1344,1391,1565,11016,14181,35865,9699
STnc1180,24,23,48,57,24,15,15,21,14,32,44,20,38,389,133,32,21,48,59,64
STnc4110,9,27,47,60,73,17,22,25,31,121,36,41,115,51,27,43,27,26,215,86
STnc440,289,386,2026,5082,2254,459,505,890,2387,2421,1202,409,1008,3149,2368,910,27374,36465,18467,3194
STnc3000,19,22,41,37,13,30,90,47,58,194,4,88,8,12,42,51,28,58,163,164
STnc4120,86,85,109,87,118,81,87,96,96,136,154,112,169,90,65,68,89,170,127,172
STnc1740,113,115,75,42,19,228,126,233,135,102,217,149,213,103,66,59,47,53,32,88
STnc2160,2,32,61,109,9,13,42,31,19,64,35,11,383,103,25,32,39,31,57,85
IsrQ,1,1,3,0,0,2,2,1,1,0,1,4,0,1,1,2,0,0,0,1
STnc4260,31,16,49,25,31,4,57,61,50,599,32,35,8,14,73,32,22,34,178,145
STnc4130,28,49,73,122,74,35,123,129,100,310,20,84,190,168,71,144,51,121,346,233
STnc1470,1717,3217,2178,3916,3375,2538,805,1183,2798,10519,90,3194,3378,3544,3022,5312,4538,2174,7569,5733
STnc4140,70,162,180,226,270,51,123,124,139,134,72,176,513,266,103,86,92,176,220,387
