gene,EEP,MEP,LEP,ESP,LSP,25�C,NaCl_shock,Bile_shock,Low_Fe2+_shock,Anaerobic_shock,Anaerobic_growth,Oxygen_shock,NonSPI2,InSPI2,Peroxide_shock_(InSPI2),Nitric_oxide_shock_(InSPI2),Macrophage
STnc630,754,959,1019,647,166,1010,3187,1494,846,494,1302,1362,1570,9682,34464,9462,854
STnc1180,29,22,45,58,24,16,30,49,29,36,411,116,27,32,45,55,21
STnc4110,14,50,46,62,197,19,144,43,45,133,55,36,52,29,253,106,5
STnc440,280,403,1971,4781,2140,460,2269,1225,400,964,3033,2308,903,21848,17701,3101,31055
STnc3000,19,26,42,32,14,30,202,5,86,8,12,45,51,41,154,168,8
STnc4120,89,96,111,86,119,83,148,159,115,174,95,71,75,87,135,171,82
STnc1740,124,112,77,38,18,260,102,228,154,207,102,66,64,41,32,86,16
STnc2160,5,51,87,133,13,22,89,57,30,516,143,40,42,41,61,99,12
IsrQ,1,2,3,0,0,2,0,1,3,0,1,1,2,1,0,1,10
STnc4260,41,14,63,25,33,12,628,40,42,16,16,86,35,16,188,155,28
STnc4130,39,71,98,144,108,46,416,51,132,233,215,97,195,123,435,312,14
STnc1470,1717,3214,2121,3699,3223,2479,9963,90,3139,3218,3363,2888,5117,5693,7090,5460,2581
STnc4140,88,197,187,257,307,66,162,97,203,524,276,117,107,146,233,402,84
